jnz,2,0.037037037037,0.0713559924808
mov,12,0.222222222222,2.56881572931
not,2,0.037037037037,0.0713559924808
leave,1,0.0185185185185,0.0178389981202
shl,1,0.0185185185185,0.0178389981202
xor,6,0.111111111111,0.642203932327
sub,1,0.0185185185185,0.0178389981202
lea,2,0.037037037037,0.0713559924808
jz,2,0.037037037037,0.0713559924808
cmp,2,0.037037037037,0.0713559924808
or,2,0.037037037037,0.0713559924808
pop,3,0.0555555555556,0.160550983082
retn,1,0.0185185185185,0.0178389981202
call,5,0.0925925925926,0.445974953005
jmp,2,0.037037037037,0.0713559924808
and,2,0.037037037037,0.0713559924808
test,2,0.037037037037,0.0713559924808
push,6,0.111111111111,0.642203932327
