jnz,1,0.037037037037,0.0343443580755
add,1,0.037037037037,0.0343443580755
mov,4,0.148148148148,0.549509729208
xor,1,0.037037037037,0.0343443580755
sub,1,0.037037037037,0.0343443580755
lea,4,0.148148148148,0.549509729208
jz,1,0.037037037037,0.0343443580755
ja,1,0.037037037037,0.0343443580755
cmp,1,0.037037037037,0.0343443580755
pop,1,0.037037037037,0.0343443580755
retn,1,0.037037037037,0.0343443580755
call,3,0.111111111111,0.309099222679
test,2,0.0740740740741,0.137377432302
push,5,0.185185185185,0.858608951887
