add,2,0.030303030303,0.058783426552
mov,21,0.318181818182,6.48087277736
not,1,0.0151515151515,0.014695856638
shr,1,0.0151515151515,0.014695856638
xor,4,0.0606060606061,0.235133706208
sub,2,0.030303030303,0.058783426552
lea,1,0.0151515151515,0.014695856638
jz,2,0.030303030303,0.058783426552
cmp,1,0.0151515151515,0.014695856638
pop,10,0.151515151515,1.4695856638
retn,3,0.0454545454545,0.132262709742
call,2,0.030303030303,0.058783426552
and,1,0.0151515151515,0.014695856638
test,2,0.030303030303,0.058783426552
push,12,0.181818181818,2.11620335587
setz,1,0.0151515151515,0.014695856638
