jnz,1,0.0112359550562,0.0109848801862
add,2,0.0224719101124,0.0439395207449
mov,46,0.516853932584,23.244006474
xor,2,0.0224719101124,0.0439395207449
sub,1,0.0112359550562,0.0109848801862
lea,2,0.0224719101124,0.0439395207449
jz,3,0.0337078651685,0.098863921676
cmp,2,0.0224719101124,0.0439395207449
pop,5,0.0561797752809,0.274622004656
retn,2,0.0224719101124,0.0439395207449
call,6,0.0674157303371,0.395455686704
jmp,2,0.0224719101124,0.0439395207449
test,2,0.0224719101124,0.0439395207449
push,13,0.14606741573,1.85644475147
