jnb,1,0.0217391304348,0.0208042245418
add,4,0.0869565217391,0.332867592669
mov,12,0.260869565217,2.99580833402
sub,3,0.0652173913043,0.187238020876
lea,2,0.0434782608696,0.0832168981672
jz,1,0.0217391304348,0.0208042245418
cmp,2,0.0434782608696,0.0832168981672
pop,3,0.0652173913043,0.187238020876
retn,1,0.0217391304348,0.0208042245418
call,4,0.0869565217391,0.332867592669
sar,3,0.0652173913043,0.187238020876
test,1,0.0217391304348,0.0208042245418
jbe,1,0.0217391304348,0.0208042245418
push,8,0.173913043478,1.33147037067
