jnb,1,0.0243902439024,0.023214985273
add,2,0.0487804878049,0.092859941092
mov,15,0.365853658537,5.22337168642
sub,2,0.0487804878049,0.092859941092
jz,1,0.0243902439024,0.023214985273
jb,3,0.0731707317073,0.208934867457
cmp,4,0.0975609756098,0.371439764368
or,1,0.0243902439024,0.023214985273
pop,2,0.0487804878049,0.092859941092
retn,2,0.0487804878049,0.092859941092
call,1,0.0243902439024,0.023214985273
jmp,2,0.0487804878049,0.092859941092
test,1,0.0243902439024,0.023214985273
push,4,0.0975609756098,0.371439764368
